"","State","Year","BDPRP","BFFDB","CLPRB","CLPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NUETB","PAPRB","REPRB","SOTCB","WWPRB","WYTCB","CO2.Emissions..Mmt.","TotalNumberofInvestments","TotalAmountofAssistance"
"1","Alabama",2015,356,1933,331420,25.122,0,0,141,91902,92144,182481,438728,55421,258955,101,164877,0,35.0278036,16,3345612
"2","Alabama",2016,351,1906,247632,25.68,0,0,141,64484,65056,176290,417334,46417,230734,431,163772,0,33.40561066,14,2247734
"3","Alabama",2017,292,1585,326748,25.407,0,0,141,85103,87057,159686,446097,39100,258549,1812,169907,0,33.72913017,18,13509662
"4","Alabama",2018,304,1652,370533,25.065,0,0,141,101447,105013,149607,412584,33591,279560,3425,172895,0,34.51458857,44,18236626
"5","Alabama",2019,275,1494,350506,24.816,0,0,141,101563,105332,138425,455865,27687,278142,3628,171316,0,34.25944031,32,13734021
"6","Alabama",2020,287,1558,313282,25.782,0,0,141,117112,120692,124831,454756,24528,288515,3439,166266,0,35.96752671,37,9567164
"7","Alaska",2015,4,21,17747,15.073,0,0,186,14621,16298,380887,0,1007501,23807,3,7488,1488,119.2008893,164,1864412
"8","Alaska",2016,5,27,13942,14.957,0,0,186,15317,17081,369865,0,1026401,25155,14,8048,1563,113.9837834,129,1206793
"9","Alaska",2017,5,29,14365,14.978,0,0,186,15143,16655,382940,0,1033270,23620,20,6937,1305,108.5943783,104,2414699
"10","Alaska",2018,3,15,13752,15.253,0,0,186,15151,16777,375279,0,997415,24158,28,7366,1411,112.3554714,75,1844186
"11","Alaska",2019,0,0,14867,15.252,0,0,186,14456,15951,364363,0,968358,22754,40,6803,1270,106.2507516,54,840218
"12","Alaska",2020,0,0,15523,15.206,0,0,186,15475,16851,376283,0,932482,24682,62,7831,1128,98.30858488,47,1174323
"13","Arizona",2015,2,6602,146450,21.522,6590,1154,345,60906,113693,99,340153,212,128954,48229,8659,4213,59.05336455,477,13453887
"14","Arizona",2016,10,6204,116678,21.516,6147,1078,345,66173,124372,49,338636,46,138522,52854,7946,5000,62.12624984,703,4637664
"15","Arizona",2017,0,6584,134024,21.543,6584,1155,345,62942,134856,58,338246,74,149493,66318,8053,5251,64.17625679,469,2069460
"16","Arizona",2018,0,6758,140759,21.489,6758,1184,345,63566,139517,44,325122,57,156071,70779,9796,4827,70.78614615,414,79970512
"17","Arizona",2019,0,3026,82222,21.398,3026,531,345,55251,133794,68,333312,40,148194,73262,11374,4937,65.07220242,302,60034678
"18","Arizona",2020,0,0,0,0,0,0,345,56354,142484,68,329471,28,152046,80134,9562,5651,54.74274607,174,61208016
"19","Arkansas",2015,815,4429,1819,19.893,0,0,808,33261,34194,1031466,144716,35611,117840,124,79217,0,94.97878443,65,1724853
"20","Arkansas",2016,990,5377,974,19.705,0,0,808,32958,34139,839485,140370,31580,115419,372,75904,0,90.85562563,54,2053339
"21","Arkansas",2017,1244,6760,832,19.472,0,0,808,27117,28367,708482,132736,30263,116692,442,81565,0,90.47614096,46,1714281
"22","Arkansas",2018,1748,9499,0,0,0,0,808,27392,30317,600455,132996,28553,126121,2117,86305,0,94.09550866,48,539053
"23","Arkansas",2019,1581,8589,0,0,0,0,808,36819,39884,534585,141750,27538,133513,2256,85041,0,92.53702529,29,95135122
"24","Arkansas",2020,1553,8437,0,0,0,0,808,39747,43767,489956,157288,23578,111538,3212,59334,0,80.13670754,24,23756565
"25","California",2015,747,30601,0,0,26544,4650,112878,128681,567365,271086,193529,1150741,737527,211839,139561,113967,351.408516,1023,30077512
"26","California",2016,1081,32765,0,0,26893,4717,107912,267194,767360,234094,197754,1064744,929692,267538,129568,124715,353.3561319,848,59755992
"27","California",2017,1001,34240,0,0,28804,5051,108637,390292,957430,240221,187227,992385,1122218,340363,130548,118138,356.5165476,786,30392556
"28","California",2018,1095,35465,0,0,29515,5170,108445,239714,857451,228906,190422,916715,1026274,381618,133358,127674,358.5947178,749,28208367
"29","California",2019,1011,31877,0,0,26386,4632,99329,341549,968843,220789,168799,890882,1140051,405654,139332,122311,358.1643733,609,158244985
"30","California",2020,896,20264,0,0,15395,2710,101857,187545,845282,192081,169773,814462,1013850,436716,148305,119164,303.4067142,442,58722209
"31","Colorado",2015,0,19861,403605,21.379,19861,3479,759,15098,91789,1965188,0,698737,126586,6270,14936,69662,91.30387161,206,1658730
"32","Colorado",2016,0,19461,270920,21.444,19461,3413,759,17565,114808,1981005,0,663969,149600,9509,15331,86977,88.42427593,258,1800615
"33","Colorado",2017,0,19828,320001,21.267,19828,3477,759,17479,118027,2028824,0,744780,153379,13973,15524,85816,88.77624019,181,1385451
"34","Colorado",2018,0,19735,293149,20.901,19735,3457,759,16618,121433,2217310,0,966448,156998,15336,15831,88720,90.06168948,142,29876375
"35","Colorado",2019,0,18725,270466,21.018,18725,3287,759,16127,130306,2394039,0,1096198,167095,16780,18063,96640,91.72734664,96,10796826
"36","Colorado",2020,0,18248,210494,20.977,18248,3212,759,14638,152466,2423537,0,955132,186132,19632,15418,117437,79.89356751,46,6304206
"37","Connecticut",2015,132,715,0,0,0,0,21,2819,5792,0,182083,0,33234,2952,26728,0,36.32904924,33,1340702
"38","Connecticut",2016,275,1496,0,0,0,0,21,2069,6336,0,173363,0,34249,4128,26418,118,34.09544003,28,962061
"39","Connecticut",2017,254,1379,0,0,0,0,21,3060,8284,0,172570,0,32888,5086,23225,117,33.8574222,40,788599
"40","Connecticut",2018,423,2296,0,0,0,0,21,5056,11668,0,176496,0,37572,6480,23608,112,37.38424068,21,1486681
"41","Connecticut",2019,434,2359,0,0,0,0,21,3811,11485,0,174730,0,37172,7545,23328,109,36.63166173,19,1306178
"42","Connecticut",2020,484,2627,0,0,0,0,21,2860,12285,0,164095,0,37394,9298,22482,107,33.76833256,13,491729
"43","Delaware",2015,0,0,0,0,0,0,430,0,1708,0,0,0,3517,1230,1809,48,13.9053954,68,1452666
"44","Delaware",2016,0,0,0,0,0,0,430,0,1612,0,0,0,3105,1133,1493,49,14.41948129,38,502817
"45","Delaware",2017,0,0,0,0,0,0,430,0,1830,0,0,0,3269,1354,1439,46,13.76698515,65,1636426
"46","Delaware",2018,0,0,0,0,0,0,430,0,1969,0,0,0,3389,1492,1419,47,13.98931001,32,824222
"47","Delaware",2019,0,0,0,0,0,0,430,0,2105,0,0,0,3611,1628,1506,47,13.58957516,40,1485254
"48","Delaware",2020,0,0,0,0,0,0,430,0,2118,0,0,0,3571,1642,1454,45,12.4713014,29,23750266
"49","Florida",2015,119,645,0,0,0,0,10056,2277,42466,1162,294099,12623,223761,30133,180650,0,237.3833592,45,3527420
"50","Florida",2016,103,558,0,0,0,0,10056,1611,42513,1062,306658,11066,223405,30846,180333,0,238.8326956,72,4068360
"51","Florida",2017,157,855,0,0,0,0,10056,2011,50264,1048,304840,11005,236674,38197,185555,0,238.4284129,56,1239122
"52","Florida",2018,335,1818,0,0,0,0,10056,2117,65529,1123,306461,10493,247001,53356,179653,0,242.0091133,62,49550089
"53","Florida",2019,169,920,0,0,0,0,10056,1869,80308,1295,303946,11037,248107,68383,166879,0,233.5527795,53,52936642
"54","Florida",2020,31,167,0,0,0,0,10056,2033,106617,1037,307197,8468,258173,94529,151389,0,207.6363255,25,8467648
"55","Georgia",2015,229,14563,0,0,13321,2334,315,27804,30579,0,353883,0,269514,2461,224371,0,145.6756383,247,6155856
"56","Georgia",2016,326,17166,0,0,15397,2700,315,31137,41707,0,360633,0,282334,10256,223461,0,144.537737,222,20155611
"57","Georgia",2017,320,16168,0,0,14429,2530,315,22201,43232,0,352560,0,275016,20716,215617,0,141.8352401,185,2884817
"58","Georgia",2018,254,15154,0,0,13776,2413,315,33656,54929,0,359262,0,288295,20958,218212,0,141.9209237,192,7882488
"59","Georgia",2019,200,16987,0,0,15901,2792,315,35230,57849,0,350759,0,301842,22304,227006,0,136.4670209,191,2374660
"60","Georgia",2020,244,7968,0,0,6641,1169,315,40905,77605,0,342766,0,313196,36385,227623,0,116.5918388,151,7307409
"61","Hawaii",2015,70,383,0,0,0,0,2154,1129,17353,0,0,0,24957,8360,7220,5710,19.7810368,16,1033143
"62","Hawaii",2016,83,451,0,0,0,0,2409,839,18961,0,0,0,27593,9813,8181,5900,19.81846857,18,429104
"63","Hawaii",2017,88,479,0,0,0,0,2980,609,21070,0,0,0,26964,12579,5415,4902,20.43258289,14,1467132
"64","Hawaii",2018,94,509,0,0,0,0,1010,879,20439,0,0,0,26299,13070,5351,5480,20.30121291,22,5818783
"65","Hawaii",2019,89,484,0,0,0,0,8,842,19884,0,0,0,25273,14320,4905,4714,20.51554679,14,329849
"66","Hawaii",2020,87,472,0,0,0,0,92,867,23057,0,0,0,27957,16902,4427,5196,14.92380827,19,1153848
"67","Idaho",2015,0,8871,0,0,8871,1554,2207,81603,105046,1192,0,172,153503,81,39585,21156,77.41573961,198,5552396
"68","Idaho",2016,0,9206,0,0,9206,1615,2167,83395,109756,5208,0,1230,151509,390,32547,23804,73.98337008,149,4220545
"69","Idaho",2017,0,9367,0,0,9367,1643,2280,98306,128436,4192,0,521,173010,4405,35206,23444,76.30357904,179,6233820
"70","Idaho",2018,0,9324,0,0,9324,1633,2259,100366,132184,2113,0,502,178935,5388,37427,24172,82.42756253,239,8883799
"71","Idaho",2019,0,8946,0,0,8946,1571,2354,92017,122586,1139,0,125,169244,5500,37711,22715,77.29621466,120,3041432
"72","Idaho",2020,0,2071,0,0,2071,365,2297,83415,115768,112,0,6,151616,5750,33778,24306,65.65085411,156,63476066
"73","Illinois",2015,3513,230655,1252879,22.282,211568,37062,2042,1160,105293,2210,1017377,54426,355359,1938,19411,100154,18.03591394,108,1895904
"74","Illinois",2016,3423,252801,977131,22.424,234203,41078,2042,1226,103746,2317,1031331,49432,375139,2033,18592,98445,18.3418212,127,1317624
"75","Illinois",2017,3260,243223,1079624,22.351,225509,39548,2042,1153,118502,2260,1016522,47581,378606,2285,16880,113023,18.70279024,88,988061
"76","Illinois",2018,3374,226419,1095887,22.147,208086,36449,2042,1334,114443,2596,1025651,48045,359817,2739,18955,108328,19.04276093,89,1198524
"77","Illinois",2019,3196,218212,1014448,22.103,200846,35260,2042,1103,135410,2279,1030996,46969,372731,3503,19109,128763,20.08591692,60,910270
"78","Illinois",2020,3750,212442,689464,21.702,192069,33807,2042,1184,151290,1951,1046769,40782,381252,5714,17520,142350,19.35911788,34,733911
"79","Indiana",2015,2179,155552,776493,22.641,143711,25175,4647,3553,51990,7446,0,12686,242141,1714,34599,42077,219.157681,57,2533998
"80","Indiana",2016,2389,166925,654493,22.752,153944,27001,4647,3935,56205,6441,0,10397,257458,2391,34328,45232,207.4305588,36,1325335
"81","Indiana",2017,2340,169356,713397,22.668,156644,27471,4647,2820,57387,6168,0,10181,260439,3032,33696,46889,205.9749865,32,1262924
"82","Indiana",2018,2325,174262,781628,22.592,161632,28312,4647,2027,59866,5292,0,9609,271248,3693,37120,49500,213.1001319,64,5112413
"83","Indiana",2019,2105,154618,712235,22.569,143184,25137,4647,2280,66440,5306,0,8997,257250,4160,36192,55354,203.43232,84,11321378
"84","Indiana",2020,2382,144450,450768,22.603,131509,23148,4647,2375,66949,4419,0,7979,246985,4767,35585,55161,169.8637056,107,3526853
"85","Iowa",2015,5762,568234,0,0,536929,94058,1281,8948,177203,0,54836,0,766862,419,21425,166555,187.2335142,68,2525723
"86","Iowa",2016,7071,585659,0,0,547240,95983,1281,8464,195637,0,49185,0,801820,587,20524,185305,181.8275677,45,11391681
"87","Iowa",2017,6810,610395,0,0,573399,100558,1281,9526,208620,0,54528,0,837092,905,18077,196907,175.8904931,46,4052088
"88","Iowa",2018,8690,641146,0,0,593931,104035,1281,8420,205217,0,51181,0,865784,1291,19420,194225,189.2161684,59,5700232
