"","State","Year","BDFDB","BDPRP","BFFDB","BFPRP","CLPRB","CLPRK","CLPRP","COPRK","EMFDB","ENPRP","GETCB","HYTCB","NCPRB","NGMPB","NGMPK","NGMPP","NUETB","PAPRB","PAPRP","REPRB","SOTCB","TEPRB","TETCB","WDEXB","WDPRB","WDTCB","WSTCB","WWPRB","WYTCB","CO2.Emissions..Mmt.","TotalNumberofInvestments","TotalAmountofAssistance"
"1","Alabama",2015,1933,356,1933,356,331420,25.122,13193,5.717,0,0,141,91902,92144,182481,1.085,168246,438728,55421,9694,258955,101,1267004,1917138,0,163313,163313,1565,164877,0,35.0278036,16,3345612
"2","Alabama",2016,1906,351,1906,351,247632,25.68,9643,5.722,0,0,141,64484,65056,176290,1.07,164815,417334,46417,8112,230734,431,1118407,1922727,0,162166,162166,1606,163772,0,119.2008893,164,1864412
"3","Alabama",2017,1585,292,1585,292,326748,25.407,12861,5.723,0,0,141,85103,87057,159686,1.064,150038,446097,39100,6832,258549,1812,1230179,1904206,1137,168195,167058,1712,169907,0,59.05336455,477,13453887
"4","Alabama",2018,1652,304,1652,304,370533,25.065,14783,5.706,0,0,141,101447,105013,149607,1.073,139477,412584,33591,5887,279560,3425,1245875,1956413,4462,171215,166753,1680,172895,0,94.97878443,65,1724853
"5","Alabama",2019,1494,275,1494,275,350506,24.816,14124,5.698,0,0,141,101563,105332,138425,1.064,130069,455865,27687,4859,278142,3628,1250624,1926332,5308,169739,164431,1577,171316,0,351.408516,1023,30077512
"6","Alaska",2015,21,4,21,4,17747,15.073,1177,5.717,0,0,186,14621,16298,380887,1.108,343625,0,1007501,176229,23807,3,1429942,614242,0,6865,6865,622,7488,1488,91.30387161,206,1658730
"7","Alaska",2016,27,5,27,5,13942,14.957,932,5.722,0,0,186,15317,17081,369865,1.112,332749,0,1026401,179378,25155,14,1435363,593662,0,7636,7636,412,8048,1563,36.32904924,33,1340702
"8","Alaska",2017,29,5,29,5,14365,14.978,959,5.723,0,0,186,15143,16655,382940,1.112,344385,0,1033270,180547,23620,20,1454196,601492,0,6501,6501,436,6937,1305,13.9053954,68,1452666
"9","Alaska",2018,15,3,15,3,13752,15.253,902,5.706,0,0,186,15151,16777,375279,1.1,341315,0,997415,174801,24158,28,1410604,604644,0,6910,6910,456,7366,1411,237.3833592,45,3527420
"10","Alaska",2019,0,0,0,0,14867,15.252,975,5.698,0,0,186,14456,15951,364363,1.106,329361,0,968358,169947,22754,40,1370342,605689,0,6418,6418,386,6803,1270,145.6756383,247,6155856
"11","Arizona",2015,12,2,6602,1157,146450,21.522,6805,5.717,6590,1154,345,60906,113693,99,1.04,95,340153,212,37,128954,48229,615867,1495858,0,8001,8001,658,8659,4213,19.7810368,16,1033143
"12","Arizona",2016,57,10,6204,1089,116678,21.516,5423,5.722,6147,1078,345,66173,124372,49,1.037,47,338636,46,8,138522,52854,593930,1524720,0,7481,7481,465,7946,5000,77.41573961,198,5552396
"13","Arizona",2017,0,0,6584,1155,134024,21.543,6221,5.723,6584,1155,345,62942,134856,58,1.041,56,338246,74,13,149493,66318,621896,1531479,0,7541,7541,512,8053,5251,18.03591394,108,1895904
"14","Arizona",2018,0,0,6758,1184,140759,21.489,6550,5.706,6758,1184,345,63566,139517,44,1.041,42,325122,57,10,156071,70779,622052,1542208,0,9307,9307,489,9796,4827,219.157681,57,2533998
